MAGs,Kingdom,Phylum,Class,Order,Family,Genus
Co22_flye_high_cov_comebin_129_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
Co22_flye_high_cov_comebin_134_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_152_sub,Unclassified,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_22997_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_309,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_32586_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFJR01
Co22_flye_high_cov_comebin_42711_sub,NA,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_59182_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Co22_flye_high_cov_comebin_62572_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_comebin_64326_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,UBA2334
Co22_flye_high_cov_comebin_69835,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter
Co22_flye_high_cov_concoct_185_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
Co22_flye_high_cov_concoct_236_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_248_sub,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Co22_flye_high_cov_concoct_252_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_32_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_concoct_87_sub,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,BOG-1363
Co22_flye_high_cov_metabat_130_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
Co22_flye_high_cov_metabat_138_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabat_2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
Co22_flye_high_cov_metabat_5_sub,NA,NA,NA,NA,NA,NA
Co22_flye_high_cov_metabat_70_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA
Co22_flye_high_cov_metabinner_34_sub,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Rhodoglobus
Co22_flye_high_cov_rosella_0_160_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
Co22_flye_high_cov_rosella_0_161_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA
Co22_flye_high_cov_rosella_0_169_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_0_340_sub,Unclassified,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_0_58_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_0_75_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_27_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
Co22_flye_high_cov_rosella_310_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_rosella_76_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_114_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
Co22_flye_high_cov_taxvamb_1639_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
Co22_flye_high_cov_taxvamb_216,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_comebin_32079,Bacteria,Patescibacteria,JAEDAM01,BD1-5,UBA2023,JAGOMW01
P1_contigs_comebin_34626_sub,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,Emticicia
P1_contigs_comebin_39310,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria
P1_contigs_comebin_45_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P1_contigs_comebin_50469_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Aquabacterium
P1_contigs_comebin_55_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P1_contigs_comebin_61381,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera
P1_contigs_concoct_11_sub,Bacteria,NA,NA,NA,NA,NA
P1_contigs_concoct_177_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_concoct_44_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
P1_contigs_concoct_65_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_concoct_87_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_concoct_93_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1
P1_contigs_metabat_101_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_metabat_8_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_rosella_0_40_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_taxvamb_325_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_taxvamb_332_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P1_contigs_taxvamb_409_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_comebin_108_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
P2_contigs_comebin_160,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
P2_contigs_comebin_221_sub,NA,NA,NA,NA,NA,NA
P2_contigs_comebin_22465_sub,NA,NA,NA,NA,NA,NA
P2_contigs_comebin_79_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_130_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P2_contigs_concoct_14_sub,NA,NA,NA,NA,NA,NA
P2_contigs_concoct_150_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_159_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_167_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_213_sub,NA,NA,NA,NA,NA,NA
P2_contigs_concoct_25_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_concoct_42_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAAFIP01
P2_contigs_concoct_4_sub,Bacteria,Bacteroidota,Bacteroidia,B-17B0,B-17BO,UBA4416
P2_contigs_concoct_89_sub,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JACMNW01
P2_contigs_metabat_27_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_metabat_35_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_metabat_59_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_metabat_61_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polaromonas
P2_contigs_metabinner_18,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
P2_contigs_rosella_0_10_sub,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Pseudobdellovibrio
P2_contigs_rosella_146_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_taxvamb_3014_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_taxvamb_423_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P2_contigs_taxvamb_56,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
P3_contigs_comebin_115,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_135_sub,NA,NA,NA,NA,NA,NA
P3_contigs_comebin_139_sub,Unclassified Bacteria,NA,NA,NA,NA,NA
P3_contigs_comebin_16737_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,UBA2334
P3_contigs_comebin_1_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria
P3_contigs_comebin_24376_sub,Bacteria,Cyanobacteriota,Cyanobacteriia,Gloeomargaritales,NA,NA
