Name,Sample,Sequence,Target,Time,Drought,State,Period,Succession,Depth
RNA1_All,RNA1,all,all,4,B1,Before,1,19,6773832
RNA1_sorted_All,RNA1,sorted,all,4,B1,Before,1,19,6773832
RNA1_MAGs,RNA1,all,MAGs,4,B1,Before,1,19,6773832
RNA1_sorted_MAGs,RNA1,sorted,MAGs,4,B1,Before,1,19,6773832
RNA2_All,RNA2,all,all,4,B1,Before,1,19,17982114
RNA2_sorted_All,RNA2,sorted,all,4,B1,Before,1,19,17982114
RNA2_MAGs,RNA2,all,MAGs,4,B1,Before,1,19,17982114
RNA2_sorted_MAGs,RNA2,sorted,MAGs,4,B1,Before,1,19,17982114
RNA3_All,RNA3,all,all,4,B1,Before,1,19,8782096
RNA3_sorted_All,RNA3,sorted,all,4,B1,Before,1,19,8782096
RNA3_MAGs,RNA3,all,MAGs,4,B1,Before,1,19,8782096
RNA3_sorted_MAGs,RNA3,sorted,MAGs,4,B1,Before,1,19,8782096
RNA4_All,RNA4,all,all,5,A1,After,1,24,12262238
RNA4_sorted_All,RNA4,sorted,all,5,A1,After,1,24,12262238
RNA4_MAGs,RNA4,all,MAGs,5,A1,After,1,24,12262238
RNA4_sorted_MAGs,RNA4,sorted,MAGs,5,A1,After,1,24,12262238
RNA5_All,RNA5,all,all,5,A1,After,1,24,4085434
RNA5_sorted_All,RNA5,sorted,all,5,A1,After,1,24,4085434
RNA5_MAGs,RNA5,all,MAGs,5,A1,After,1,24,4085434
RNA5_sorted_MAGs,RNA5,sorted,MAGs,5,A1,After,1,24,4085434
RNA6_All,RNA6,all,all,5,A1,After,1,24,9483251
RNA6_sorted_All,RNA6,sorted,all,5,A1,After,1,24,9483251
RNA6_MAGs,RNA6,all,MAGs,5,A1,After,1,24,9483251
RNA6_sorted_MAGs,RNA6,sorted,MAGs,5,A1,After,1,24,9483251
RNA7_All,RNA7,all,all,8,B2,Before,2,33,13118815
RNA7_sorted_All,RNA7,sorted,all,8,B2,Before,2,33,13118815
RNA7_MAGs,RNA7,all,MAGs,8,B2,Before,2,33,13118815
RNA7_sorted_MAGs,RNA7,sorted,MAGs,8,B2,Before,2,33,13118815
RNA8_All,RNA8,all,all,8,B2,Before,2,33,14705683
RNA8_sorted_All,RNA8,sorted,all,8,B2,Before,2,33,14705683
RNA8_MAGs,RNA8,all,MAGs,8,B2,Before,2,33,14705683
RNA8_sorted_MAGs,RNA8,sorted,MAGs,8,B2,Before,2,33,14705683
RNA9_All,RNA9,all,all,8,B2,Before,2,33,3920999
RNA9_sorted_All,RNA9,sorted,all,8,B2,Before,2,33,3920999
RNA9_MAGs,RNA9,all,MAGs,8,B2,Before,2,33,3920999
RNA9_sorted_MAGs,RNA9,sorted,MAGs,8,B2,Before,2,33,3920999
RNA10_All,RNA10,all,all,9,A2,After,2,38,9347866
RNA10_sorted_All,RNA10,sorted,all,9,A2,After,2,38,9347866
RNA10_MAGs,RNA10,all,MAGs,9,A2,After,2,38,9347866
RNA10_sorted_MAGs,RNA10,sorted,MAGs,9,A2,After,2,38,9347866
RNA11_All,RNA11,all,all,9,A2,After,2,38,10557139
RNA11_sorted_All,RNA11,sorted,all,9,A2,After,2,38,10557139
RNA11_MAGs,RNA11,all,MAGs,9,A2,After,2,38,10557139
RNA11_sorted_MAGs,RNA11,sorted,MAGs,9,A2,After,2,38,10557139
RNA12_All,RNA12,all,all,9,A2,After,2,38,5488240
RNA12_sorted_All,RNA12,sorted,all,9,A2,After,2,38,5488240
RNA12_MAGs,RNA12,all,MAGs,9,A2,After,2,38,5488240
RNA12_sorted_MAGs,RNA12,sorted,MAGs,9,A2,After,2,38,5488240
RNA13_All,RNA13,all,all,17,B3,Before,3,82,3723548
RNA13_sorted_All,RNA13,sorted,all,17,B3,Before,3,82,3723548
RNA13_MAGs,RNA13,all,MAGs,17,B3,Before,3,82,3723548
RNA13_sorted_MAGs,RNA13,sorted,MAGs,17,B3,Before,3,82,3723548
RNA14_All,RNA14,all,all,17,B3,Before,3,82,7738535
RNA14_sorted_All,RNA14,sorted,all,17,B3,Before,3,82,7738535
RNA14_MAGs,RNA14,all,MAGs,17,B3,Before,3,82,7738535
RNA14_sorted_MAGs,RNA14,sorted,MAGs,17,B3,Before,3,82,7738535
