"Virus","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"Sentinel_19_S19_437157","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_19_S19_155887","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_19_S19_204528","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_19_S19_620016","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_19_S19_576901","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Demerecviridae"
"Sentinel_19_S19_414028","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Kyanoviridae"
"Sentinel_19_S19_149174","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_19_S19_282063","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_19_S19_639389","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Kyanoviridae"
"Sentinel_19_S19_192874","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_19_S19_356230","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"Sentinel_19_S19_738143","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Megaviricetes Class","Megaviricetes Class"
"Sentinel_19_S19_106713","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae"
"Sentinel_19_S19_289785","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_117881_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_146595_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_152777_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_38051_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_152883_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_137555_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Crassvirales","Crassvirales Order"
"contig_127375_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_38148_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_49726_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_7914_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_15355_pilon","Viruses","Viruses Domain","Viruses Domain","Viruses Domain","Viruses Domain","Viruses Domain","Viruses Domain"
"contig_16936_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_158720_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_67154_pilon","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Pimascovirales","Pimascovirales Order"
"contig_137887_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_68617_pilon","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","Imitervirales Order"
"contig_162092_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_51702_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_127399_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_103633_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_36721_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_100141_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_72574_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_32385_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_87077_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_133424_pilon","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"contig_110045_pilon","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"contig_34066_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_78955_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Kyanoviridae"
"contig_145637_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Straboviridae"
"contig_3446_pilon","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"contig_70168_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_47062_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_62797_pilon_fragment_1","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_65117_pilon","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"contig_94390_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_53429_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_159748_pilon","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Megaviricetes Class","Megaviricetes Class"
"contig_80382_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_100641_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_92080_pilon","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons","LTR retrotransposons"
"contig_149831_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_161582_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_134588_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_10451_pilon","Viruses","Varidnaviria","Bamfordvirae","Bamfordvirae Kingdom","Bamfordvirae Kingdom","Bamfordvirae Kingdom","Bamfordvirae Kingdom"
"contig_8079_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"contig_162008_pilon","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
